,0
NMHC(GT),0.016334802936694363
C6H6(GT),0.019479253169735405
PT08.S2(NMHC),0.03645023773170664
NO2(GT),0.042825151179925705
RH,0.04827809494820496
AH,0.05053773279989463
PT08.S5(O3),0.05140444456209664
PT08.S3(NOx),0.05348805613414157
PT08.S1(CO),0.05805442784175027
PT08.S4(NO2),0.05814510365234472
T,0.06172593998768225
NOx(GT),0.5032767550558228
